CouponID,CouponName,CouponDescription,PercentDiscount,ExpirationDate
1,SAVE15,Mio vostro forza carta normale migliore perdere.,25,2026-06-25
2,HAPPY40,Scorrere stare dentro elettrico contatto campagna liberare sapere raggiungere.,5,2025-12-10
3,VIP39,Scappare zitto importare figura non persona.,5,2026-04-26
4,LUNCH14,Pesare prima diritto attento.,15,2026-01-09
5,SAVE28,Memoria fede accendere presidente finire qualità partire.,30,2025-11-19
6,WEEKEND48,Settimana contenere sguardo tentare lungo.,10,2026-09-11
7,PIZZA40,Sapere piano lì pensare straniero mostrare figurare rivolgere importare.,30,2026-05-27
8,VIP20,Si escludere qualità fabbrica morte.,30,2026-02-02
9,VIP31,Odore fiducia teatro sangue atteggiamento ci.,5,2026-01-31
10,PIZZA31,Fine giocare morale cominciare pagina.,30,2026-10-05
11,WEEKEND22,Orecchio sottile restare proporre evitare americano.,10,2026-10-11
12,HAPPY7,Azzurro sposare gesto serio esperienza mio comune giardino.,30,2026-06-15
13,WEEKEND34,Ritorno tardi invitare allontanare ma.,12,2026-04-03
14,WEEKEND19,Cittadino finestra macchina spettacolo estero fermare riportare bene viso.,5,2026-09-14
15,HAPPY26,Pranzo cattivo qualità leggere provvedere minimo abito tornare presso ordine.,12,2026-01-01
